2015-10-02 17:20:43,ANSWERED
2015-10-01 08:01:31,ANSWERED
2015-10-01 08:05:01,ANSWERED
2015-10-01 08:10:49,ANSWERED
2015-10-01 08:22:49,ANSWERED
2015-10-01 08:29:53,NO ANSWER
2015-10-01 08:34:13,ANSWERED
2015-10-01 08:52:28,ANSWERED
2015-10-01 09:00:23,ANSWERED
2015-10-01 09:32:25,ANSWERED
2015-10-01 09:33:56,ANSWERED
2015-10-01 09:34:20,ANSWERED
2015-10-01 09:37:32,ANSWERED
2015-10-01 09:43:18,ANSWERED
2015-10-01 09:46:17,ANSWERED
2015-10-01 09:52:24,ANSWERED
2015-10-01 09:55:36,ANSWERED
2015-10-01 10:15:55,ANSWERED
2015-10-01 10:18:09,ANSWERED
2015-10-01 10:24:10,NO ANSWER
2015-10-01 10:25:31,ANSWERED
2015-10-01 10:20:54,ANSWERED
2015-10-01 10:51:24,ANSWERED
2015-10-01 10:51:46,NO ANSWER
2015-10-01 10:52:39,ANSWERED
2015-10-01 10:56:17,ANSWERED
2015-10-01 10:57:04,ANSWERED
2015-10-01 10:56:44,ANSWERED
2015-10-01 11:08:06,ANSWERED
2015-10-01 11:12:28,ANSWERED
2015-10-01 11:15:57,ANSWERED
2015-10-01 11:16:58,ANSWERED
2015-10-01 11:18:22,ANSWERED
2015-10-01 11:20:02,ANSWERED
2015-10-01 11:20:23,ANSWERED
2015-10-01 11:23:26,ANSWERED
2015-10-01 11:24:46,ANSWERED
2015-10-01 11:27:36,ANSWERED
2015-10-01 11:27:04,ANSWERED
2015-10-01 11:28:00,ANSWERED
2015-10-01 11:31:10,ANSWERED
2015-10-01 11:35:27,ANSWERED
2015-10-01 11:58:03,ANSWERED
2015-10-01 12:09:50,ANSWERED
2015-10-01 12:14:33,ANSWERED
2015-10-01 12:32:26,ANSWERED
2015-10-01 12:33:11,ANSWERED
2015-10-01 12:36:51,ANSWERED
2015-10-01 12:59:13,NO ANSWER
2015-10-01 13:00:00,ANSWERED
2015-10-01 13:02:57,ANSWERED
2015-10-01 12:57:57,ANSWERED
2015-10-01 13:05:29,ANSWERED
2015-10-01 13:13:43,ANSWERED
2015-10-01 13:34:10,ANSWERED
2015-10-01 13:40:32,ANSWERED
2015-10-01 13:43:01,NO ANSWER
2015-10-01 13:44:50,ANSWERED
2015-10-01 13:45:42,ANSWERED
2015-10-01 13:48:58,ANSWERED
2015-10-01 13:49:43,ANSWERED
2015-10-01 14:13:54,ANSWERED
2015-10-01 14:18:25,ANSWERED
2015-10-01 14:20:43,ANSWERED
2015-10-01 14:27:33,ANSWERED
2015-10-01 14:38:30,ANSWERED
2015-10-01 14:59:02,ANSWERED
2015-10-01 14:59:49,ANSWERED
2015-10-01 15:02:36,ANSWERED
2015-10-01 15:17:37,NO ANSWER
2015-10-01 15:19:01,NO ANSWER
2015-10-01 15:18:44,NO ANSWER
2015-10-01 15:19:20,NO ANSWER
2015-10-01 15:17:10,NO ANSWER
2015-10-01 15:21:35,NO ANSWER
2015-10-01 15:21:32,ANSWERED
2015-10-01 15:22:29,NO ANSWER
2015-10-01 15:23:20,NO ANSWER
2015-10-01 15:23:28,NO ANSWER
2015-10-01 15:22:43,ANSWERED
2015-10-01 15:29:07,ANSWERED
2015-10-01 15:43:12,ANSWERED
2015-10-01 15:44:21,ANSWERED
2015-10-01 15:50:03,ANSWERED
2015-10-01 15:57:20,ANSWERED
2015-10-01 16:06:02,ANSWERED
2015-10-01 16:06:44,ANSWERED
2015-10-01 15:57:20,ANSWERED
2015-10-01 16:08:05,ANSWERED
2015-10-01 16:08:15,ANSWERED
2015-10-01 16:26:06,NO ANSWER
2015-10-01 16:28:50,ANSWERED
2015-10-01 16:30:46,NO ANSWER
2015-10-01 16:31:43,ANSWERED
2015-10-01 16:30:09,ANSWERED
2015-10-01 16:34:01,ANSWERED
2015-10-01 16:43:02,ANSWERED
2015-10-01 16:51:26,ANSWERED
2015-10-01 16:52:45,ANSWERED
2015-10-01 16:54:28,ANSWERED
2015-10-01 16:54:42,ANSWERED
2015-10-01 16:54:32,ANSWERED
2015-10-01 16:58:13,ANSWERED
2015-10-01 16:56:12,ANSWERED
2015-10-01 16:55:13,ANSWERED
2015-10-01 17:06:42,ANSWERED
2015-10-01 17:08:02,ANSWERED
2015-10-01 17:23:07,ANSWERED
2015-10-01 17:25:54,ANSWERED
2015-10-01 18:17:57,ANSWERED
2015-10-01 18:15:04,ANSWERED
2015-10-01 19:02:24,ANSWERED
2015-10-01 19:06:14,ANSWERED
2015-10-01 19:58:41,ANSWERED
2015-10-01 20:00:38,ANSWERED
2015-10-01 19:49:49,ANSWERED
2015-10-01 20:14:07,ANSWERED
2015-10-01 20:32:04,ANSWERED
2015-10-01 21:17:47,NO ANSWER
2015-10-02 07:17:03,ANSWERED
2015-10-02 08:08:36,ANSWERED
2015-10-02 08:16:44,ANSWERED
2015-10-02 08:22:22,ANSWERED
2015-10-02 08:21:54,ANSWERED
2015-10-02 08:40:08,ANSWERED
2015-10-02 08:46:15,ANSWERED
2015-10-02 08:58:15,ANSWERED
2015-10-02 08:59:16,ANSWERED
2015-10-02 08:59:23,ANSWERED
2015-10-02 09:02:58,ANSWERED
2015-10-02 09:16:17,ANSWERED
2015-10-02 09:33:43,NO ANSWER
2015-10-02 09:33:39,ANSWERED
2015-10-02 09:28:45,ANSWERED
2015-10-02 09:41:28,ANSWERED
2015-10-02 09:43:26,ANSWERED
2015-10-02 09:44:05,ANSWERED
2015-10-02 09:46:37,ANSWERED
2015-10-02 09:53:45,NO ANSWER
2015-10-02 09:55:37,ANSWERED
2015-10-02 09:58:22,ANSWERED
2015-10-02 10:03:29,NO ANSWER
2015-10-02 10:08:49,NO ANSWER
2015-10-02 09:28:27,ANSWERED
2015-10-02 10:16:16,ANSWERED
2015-10-02 10:16:15,ANSWERED
2015-10-02 10:15:43,ANSWERED
2015-10-02 10:24:13,ANSWERED
2015-10-02 10:24:00,ANSWERED
2015-10-02 10:27:49,ANSWERED
2015-10-02 10:41:21,ANSWERED
2015-10-02 10:44:11,ANSWERED
2015-10-02 11:01:30,ANSWERED
2015-10-02 10:57:58,ANSWERED
2015-10-02 11:04:44,ANSWERED
2015-10-02 11:07:43,ANSWERED
2015-10-02 11:08:35,ANSWERED
2015-10-02 11:11:30,ANSWERED
2015-10-02 11:21:09,NO ANSWER
2015-10-02 11:22:55,NO ANSWER
2015-10-02 11:25:57,NO ANSWER
2015-10-02 11:17:36,ANSWERED
2015-10-02 11:33:20,NO ANSWER
